x,y,size,text,color,topicID
916.7103,751.0275,4.0083336,Biolinguistics,#ffc1fc,021DDE6F
1932.4369,1091.8239,4.01107,Theoretical psychology,#ffc1fc,02232984
2147.4429,1277.4742,4.002015,Consulting psychology,#ffc1fc,023183CF
1091.5605,1036.571,4.0973312,Speech-Language Pathology,#ffc1fc,023F23A0
1736.1171,628.2389,4.0107468,Auditory scene analysis,#ffc1fc,0245D0F7
1815.3956,1161.1194,4.0522744,Cross-cultural psychology,#ffc1fc,024F05B5
1172.6564,758.62256,4.695496,Neurochemistry,#ffc1fc,026121AB
1370.5828,699.78766,4.204732,Sequence learning,#ffc1fc,026A1627
1722.0282,1338.0588,4.0325164,Pastoral counseling,#ffc1fc,028AD8D5
2031.8087,1784.7079,4.0016872,Crowd psychology,#ffc1fc,02A0091E
2131.19,757.69183,4.0024064,Neuroesthetics,#ffc1fc,02B5A1E4
1277.131,697.50745,4.0815552,Numerical cognition,#ffc1fc,02BA5EF6
2412.907,918.28357,4.001601,Cognitive ethology,#ffc1fc,02C32E5F
1478.5713,1394.9788,4.056868,Ecological systems theory,#ffc1fc,02D20782
1356.6315,955.1751,6.5246368,Concept learning,#ffc1fc,02DEED18
1874.7836,1328.147,4.0084556,Implicit cognition,#ffc1fc,02E1740D
2440.176,1107.5709,4.0178962,Marketing research,#ffc1fc,02EA068B
1938.6094,916.58905,4.0094924,Cognitive Information Processing,#ffc1fc,03036E53
1088.8134,1205.9646,5.2820156,Cooperative learning,#ffc1fc,03147438
1557.6244,787.9909,4.4458808,Functional neuroimaging,#ffc1fc,031E9E7B
1027.2009,1565.2144,4.0036582,Myology,#ffc1fc,0323D48A
1573.1196,853.4681,4.093982,Behavioural genetics,#ffc1fc,03305A76
1476.7509,1254.4283,4.7254548,Stress management,#ffc1fc,0338959E
1410.7682,1380.887,4.066808,Personal development,#ffc1fc,0358DA3F
1526.4465,1567.0238,4.0050632,Self-fulfilling prophecy,#ffc1fc,0365E193
1647.5726,1496.8586,4.0060924,Relational-cultural therapy,#ffc1fc,037BB04E
1321.0227,751.9087,5.2039696,Neuroimaging,#ffc1fc,037F9774
1692.1727,772.7743,4.0450908,Biological psychiatry,#ffc1fc,03AAF489
1835.4692,797.74976,4.0083378,Neurotheology,#ffc1fc,03B7F833
1817.5503,1309.2242,4.0161328,Logotherapy,#ffc1fc,03E18918
1604.5956,1177.8336,4.5242768,Family therapy,#ffc1fc,03F6DBF6
1867.1622,1189.8981,4.0201272,Self psychology,#ffc1fc,040502F5
1036.2504,1064.5205,4.040041,Social dynamics,#ffc1fc,040581CF
1936.0087,1237.451,4.018694,Depth psychology,#ffc1fc,04126CE0
1546.6989,1346.7595,4.1447426,Individual psychology,#ffc1fc,041FA0DD
1640.0585,1117.7882,4.634597,Personality development,#ffc1fc,042A8E46
1930.3372,816.9728,4.0037216,Postmortem studies,#ffc1fc,042D9A4A
1058.3403,1135.3915,4.031354,Kinesiology,#ffc1fc,045DB016
1792.816,1459.8811,4.0055684,Narrative psychology,#ffc1fc,046D6924
1859.4974,742.6793,4.008131,Cultural neuroscience,#ffc1fc,047772F9
1528.6234,1198.0415,4.92215,Moral development,#ffc1fc,048B7281
2178.2979,1210.6956,4.0026318,Phenomenology,#ffc1fc,048F4B01
1773.5638,1202.9924,4.0490544,Humanistic psychology,#ffc1fc,04D8C4A5
1579.488,1681.1035,4.0032966,Ecopsychology,#ffc1fc,04DD5D61
1799.0703,1827.4691,4.006486,Music history,#ffc1fc,04E83767
1133.7576,984.0453,4.0553196,Information processing theory,#ffc1fc,04F3567F
1597.3353,741.33673,4.0654564,Developmental cognitive neuroscience,#ffc1fc,05285548
1244.7094,756.81384,5.431921,Information processing,#ffc1fc,053CC44F
2194.5881,1085.7332,4.002649,Human behavioral ecology,#ffc1fc,053E97E7
1841.9333,481.48434,4.0037216,Neurophysics,#ffc1fc,0543585A
2223.437,1445.7026,4.002015,Functional psychology,#ffc1fc,0543AA85
2135.8247,1356.547,4.0083416,International psychology,#ffc1fc,0547D665
1931.9324,727.6967,4.0072728,Behavioral neurology,#ffc1fc,0551F203
1301.7728,886.0339,4.5519126,Psycholinguistics,#ffc1fc,05521D3E
1855.589,1026.84,4.0240852,Philosophy of psychology,#ffc1fc,0564950F
1703.9893,905.8995,4.2227554,Evolutionary psychology,#ffc1fc,057E19D7
1776.698,687.671,4.0137036,Neurophilosophy,#ffc1fc,059BD16C
992.11035,1113.0492,4.0195492,Learning Sciences,#ffc1fc,05BF5BFD
1311.6998,1455.9172,4.0143928,Persuasive technology,#ffc1fc,05F812F8
959.29834,1222.4425,4.0082234,Usability engineering,#ffc1fc,05FA807F
1551.5852,996.8637,4.644299,Experimental psychology,#ffc1fc,06062FF3
1854.5222,1101.3978,4.03634,Psychodrama,#ffc1fc,0607E958
1045.0106,831.4016,4.012282,Linguistic relativity,#ffc1fc,0610AA88
1110.4286,1095.5814,4.1140144,Occupational therapy,#ffc1fc,06174C7B
1719.8615,1165.495,4.0987546,Psychodynamics,#ffc1fc,061E65C2
1447.1807,702.2091,4.2975216,Neuroanatomy,#ffc1fc,06296DC2
1482.7155,769.2198,5.5793496,Psychopharmacology,#ffc1fc,062E7BF1
1356.3313,602.4088,4.0638214,Neuroendocrinology,#ffc1fc,063E4B80
2250.2292,914.48535,4.003348,Neuroergonomics,#ffc1fc,064B8B11
1539.5874,719.68726,4.0522964,Clinical neuropsychology,#ffc1fc,064C47FE
1619.0927,1787.174,4.002254,Participatory management,#ffc1fc,06597AEC
1655.6317,481.85162,4.0264862,Biocybernetics,#ffc1fc,06767359
1230.0796,962.2531,10.036705,Child development,#ffc1fc,06833017
1797.8499,1060.0115,4.0501186,Behavioral economics,#ffc1fc,0687F78C
1243.5323,1085.28,7.076434,Computer-mediated communication,#ffc1fc,068B16C1
1788.5732,757.75885,4.0087814,Preferential looking,#ffc1fc,0697CF0E
1982.3453,1657.3214,4.0015576,Thanatology,#ffc1fc,069FF95C
811.06793,927.3657,4.3884346,Morphology,#ffc1fc,06A2C3F5
2406.2405,1448.0653,4.0015014,Black psychology,#ffc1fc,06B84B72
1109.0284,819.3906,4.0132836,Psychosurgery,#ffc1fc,06C41747
1159.8809,1308.3561,4.1503288,Nurse education,#ffc1fc,06C5A863
806.69434,1106.0459,4.002015,Color psychology,#ffc1fc,06E964A4
1159.1805,1233.1665,4.4936328,Organizational communication,#ffc1fc,06EED2B9
1529.8674,1058.6589,4.1781822,Human behavior,#ffc1fc,06F9D163
1408.0714,636.9882,4.3221664,Biological neural network,#ffc1fc,070EB092
2027.9788,1365.1621,4.0043262,Archetypal psychology,#ffc1fc,071B3D98
1970.4554,618.42596,4.0040844,Activity recognition,#ffc1fc,0740CE13
1491.9203,1451.6742,4.0163642,Medical psychology,#ffc1fc,075207FC
1670.0922,1045.3518,5.0725644,Psychopathology,#ffc1fc,075902EB
897.1083,1198.7542,4.014604,Ecology and Evolutionary Biology,#ffc1fc,0775659C
1118.8134,1653.0692,4.1048446,Nematology,#ffc1fc,0778705E
1753.5867,940.65326,4.040829,Folk psychology,#ffc1fc,07A87B81
1014.76685,1196.9978,4.3051594,Organization development,#ffc1fc,07B0AC45
1171.5394,510.23053,4.0080746,Clinical neurophysiology,#ffc1fc,07BAF1A0
1721.148,469.7882,4.0122264,Neurorobotics,#ffc1fc,07C59C25
1342.8958,1340.7858,4.165226,Industrial and organizational psychology,#ffc1fc,07C73C8C
1157.9216,1054.3632,4.148061,Protocol analysis,#ffc1fc,07EF23AB
1666.5667,1192.6228,4.1292286,Sport psychology,#ffc1fc,07F8E906
1501.4899,669.32166,4.1909558,Neuropsychiatry,#ffc1fc,07FCDB2F
1128.8411,893.3246,6.0675006,Mental health,#ffc1fc,08023459
1482.0857,1124.8632,5.6292038,Educational psychology,#ffc1fc,080A5726
1675.3695,1388.7415,4.0214138,Child psychopathology,#ffc1fc,080F3973
2078.8105,896.7773,4.003132,Somatic psychology,#ffc1fc,081B5D01
2704.9172,960.3881,4.0017646,Augmented cognition,#ffc1fc,08261061
1441.0637,1189.1115,4.7069622,Psychological resilience,#ffc1fc,082D26AD
1173.9376,834.6776,4.352919,Phonetics,#ffc1fc,08335F54
1777.0254,1003.1837,4.0461052,Biopsychosocial model,#ffc1fc,0837F9F8
1104.217,1276.5963,4.7477318,Collaborative learning,#ffc1fc,083A0819
1644.7196,876.0123,4.7317356,Behavioral neuroscience,#ffc1fc,0847B53E
1463.677,933.1091,9.7746712,Cognitive development,#ffc1fc,085EF8C0
1341.1405,1401.8949,4.1553948,Participatory action research,#ffc1fc,08675107
1653.864,723.82684,4.0213532,Educational neuroscience,#ffc1fc,0884F3C3
1546.1544,1412.4132,4.051766,Legal psychology,#ffc1fc,088DDE4A
2365.593,1015.2021,4.0015014,Traffic psychology,#ffc1fc,088E9C21
1326.6759,654.2361,4.1368084,Physiological psychology,#ffc1fc,08AB454C
1708.0984,1625.4761,4.0025608,Popular psychology,#ffc1fc,08B6921A
1234.7804,855.2386,4.6517666,Phonology,#ffc1fc,08E08E9C
1877.9128,1257.2726,4.0116356,Analytical psychology,#ffc1fc,08F5FD62
2125.541,601.0088,4.0015014,Quantum cognition,#ffc1fc,08F9C2D8
1544.8811,516.05225,4.0612232,Neuromorphic engineering,#ffc1fc,090E3A49
1408.4895,563.494,4.0264636,Neurogenetics,#ffc1fc,09125E5E
1203.2104,683.7881,5.677375,Neurophysiology,#ffc1fc,0916A1A2
1702.73,1101.5416,4.0709564,Intrapersonal communication,#ffc1fc,09299C29
1564.3835,1118.3422,4.4448304,Health psychology,#ffc1fc,093FA0F3
1289.2449,819.8917,4.2782012,Neurolinguistics,#ffc1fc,09467BC4
1471.7028,1515.9417,4.0174496,Therapeutic jurisprudence,#ffc1fc,0951BF1C
2275.5388,1601.1296,4.002146,Cyberpsychology,#ffc1fc,095516CD
2024.038,689.1516,4.002015,Perceptual psychology,#ffc1fc,095BDBB1
1606.5344,1370.7546,4.0502224,Community psychology,#ffc1fc,095FA929
2374.5278,1148.1356,4.001537,Psychological anthropology,#ffc1fc,0978430A
1168.5715,1152.6255,6.3527122,Instructional design,#ffc1fc,09811BDC
1826.4363,860.17426,4.0220832,Psychogenic disease,#ffc1fc,098BA56E
1899.9556,986.0792,4.0084556,Mathematical psychology,#ffc1fc,09CF3345
1367.261,1176.477,5.971022,Interpersonal communication,#ffc1fc,09D36AA0
1376.4932,875.1047,5.0274024,Psychomotor learning,#ffc1fc,09D4FF06
2418.5203,848.2456,4.0018014,Evolutionary anthropology,#ffc1fc,09E93383
2325.912,1521.5225,4.0015014,Systems psychology,#ffc1fc,09ED49EB
1068.8718,952.8333,4.1789516,Applied linguistics,#ffc1fc,09F5121A
1252.3593,493.13385,4.0660828,Neural engineering,#ffc1fc,0A0A5E74
1660.6741,1327.4448,4.0416744,Forensic psychology,#ffc1fc,0A0BFACF
1262.4867,1408.4583,4.150114,Organizational learning,#ffc1fc,0A1DF5C7
1759.8995,867.0047,4.0808342,Social neuroscience,#ffc1fc,0A26E244
1467.2656,1033.0596,5.184253,Psychometrics,#ffc1fc,0A3A82E4
1320.459,1035.9059,4.6244416,School Psychology,#ffc1fc,0A4B6361
974.39935,982.08704,4.0065346,Heuristic,#ffc1fc,0A5C018E
1848.3972,1683.0146,4.002868,Socratic questioning,#ffc1fc,0A6817F5
1854.5713,1429.2174,4.0082222,Reality therapy,#ffc1fc,0A6E0560
1655.8645,943.5709,4.0985432,Developmental psychopathology,#ffc1fc,0A73966D
1728.5505,1526.6833,4.0087814,Investigative psychology,#ffc1fc,0A820C9D
1510.044,1754.853,4.00481,Nursing ethics,#ffc1fc,0A9DF98C
1311.8021,1260.6632,8.1112792,Early childhood education,#ffc1fc,0A9F90D6
2286.7783,1323.9813,4.00156,Biosemiotics,#ffc1fc,0AB1DC68
2369.7527,1273.0006,4.0015426,Sexology,#ffc1fc,0AD883BE
1443.7238,833.0816,4.9318626,Behavioral medicine,#ffc1fc,0AF304F0
1220.5396,1338.5527,4.135397,Action learning,#ffc1fc,0AF3F1E4
1650.3822,657.3277,4.506862,Neuropsychopharmacology,#ffc1fc,0AF96A84
1375.3619,1496.8197,4.0087776,Personnel psychology,#ffc1fc,0B1CE7B5
1104.7604,641.3725,4.0102054,Chronobiology,#ffc1fc,0B31145F
1824.2052,613.9704,4.0046116,Neuroethology,#ffc1fc,0B34E50D
1531.0842,610.7689,4.0438644,Neuroethics,#ffc1fc,0B35C6CB
1280.7456,1346.5034,4.088872,Rehabilitation counseling,#ffc1fc,0B3A97F5
1724.1653,721.60254,4.0700164,Neuroeconomics,#ffc1fc,0B3EBC73
2198.5925,870.3157,4.0022786,Neurophenomenology,#ffc1fc,0B746607
1692.1937,837.5252,4.109912,Comparative psychology,#ffc1fc,0B9DE125
1374.0575,1797.8418,4.0025802,Organizational analysis,#ffc1fc,0BA3E2DD
1478.0923,549.75525,4.1166736,Neuroprosthetics,#ffc1fc,0BC600F7
1038.3542,1271.0205,4.0290654,Cross-cultural communication,#ffc1fc,0BCF83F1
1646.0393,584.64105,4.0145614,Vision science,#ffc1fc,0BEF1F10
1136.5374,557.8566,4.0078582,Neuroimmunology,#ffc1fc,0C0945A8
2120.1782,1534.3925,4.0026314,Discursive psychology,#ffc1fc,0C11CDFF
1706.464,1744.2372,4.0043774,Social pedagogy,#ffc1fc,0C139977
1778.4006,1361.8961,4.0157506,Supportive psychotherapy,#ffc1fc,0C289911
1300.9789,578.001,4.035595,Neuroinformatics,#ffc1fc,0C3E923F
1031.562,1000.24817,4.0204976,Cognitive linguistics,#ffc1fc,0C5EFA74
1599.1844,1255.4275,4.5661632,Group psychotherapy,#ffc1fc,1DEA37A1
1936.0211,1535.8242,4.0049428,Clinical pastoral education,#ffc1fc,1F0AC184
746.4668,1030.6333,4.0022842,Quantitative linguistics,#ffc1fc,1F44C9CA
1983.0302,1045.2151,4.008131,Body psychotherapy,#ffc1fc,1F702426
1219.3678,1274.2152,4.045258,Military psychology,#ffc1fc,2041C9D9
2221.5488,1677.7927,4.0021828,Organizational behavior management,#ffc1fc,212130E6
1711.4125,988.7983,4.0649048,Child and adolescent psychiatry,#ffc1fc,2134F9C1
6.5068555,-2338.8018,4.0094132,Military science,#beeb74,0006E501
253.66849,-2381.562,4.0707364,Strategic studies,#beeb74,0092F226
292.83582,-2444.5427,5.3048008,Constitutional law,#beeb74,011C949E
-31.801035,-2407.937,4.0228206,Middle Eastern studies,#beeb74,019A070F
173.8202,-2516.6099,4.1274688,International political economy,#beeb74,01DB9602
129.53394,-2206.0574,5.7320816,International relations,#beeb74,020C386F
22.729939,-2573.588,4.0322582,Latin American studies,#beeb74,02CF7C78
196.24759,-2429.0898,5.400672,International law,#beeb74,034E1111
-113.17522,-2627.7673,4.004156,Media relations,#beeb74,03FEE94E
-73.99254,-2530.808,4.0154212,Jewish Studies,#beeb74,04707F7F
70.244125,-2380.7146,4.0366504,African studies,#beeb74,04BBCD00
240.53058,-2489.4465,4.323494,Comparative politics,#beeb74,04EFF368
320.06027,-2582.38,4.0332634,International human rights law,#beeb74,0529A47B
68.236336,-2450.0308,4.0723424,Political communication,#beeb74,05650CF6
311.1845,-2147.4648,5.4743546,Foreign policy,#beeb74,0590D575
78.43716,-1995.5374,4.6431404,Public policy,#beeb74,068E4356
128.82022,-2417.7944,4.2672928,Policy analysis,#beeb74,075DCA2A
366.3952,-2477.1133,4.7828068,Family law,#beeb74,07DD226C
-218.7405,-2563.7969,4.0015254,Opinion leadership,#beeb74,084D1126
352.69592,-2383.5786,4.200689,Comparative law,#beeb74,08E4C18C
121.66684,-2546.495,4.0538726,Area studies,#beeb74,0929AA94
7.0734973,-2462.0188,4.0501892,Mass communication,#beeb74,093D9291
135.19601,-2333.0986,4.031854,Peace and conflict studies,#beeb74,0973768F
-178.27168,-2702.5474,4.0015004,Corporate communication,#beeb74,09BDF000
201.5466,-2354.7363,4.0280826,Environmental politics,#beeb74,0A2C0DFB
412.5681,-2417.9263,4.0420886,Public law,#beeb74,0A9BDD44
-131.08823,-2468.2961,4.005588,Policy studies,#beeb74,0C222C48
323.75964,-2326.9294,4.4113648,Immigration law,#beeb74,0C2BF64F
125.168434,-2479.6074,4.088549,Asian studies,#beeb74,0C4E0919
155.33296,-2629.6787,4.082195,Korean studies,#beeb74,1DDA7EC5
66.63546,-2517.0203,4.271128,International Studies,#beeb74,1E045DB7
398.99698,-2568.3452,4.0036492,Iranian studies,#beeb74,1E062687
-31.499063,-2754.7676,4.0021194,Global politics,#beeb74,20171581
219.13615,-2616.2976,4.087033,Japanese studies,#beeb74,20ADD79A
1869.5132,-524.3266,4.7701684,Vocational education,#e0d4ff,000A3458
1625.0989,-504.67758,4.0688324,Real algebraic geometry,#e0d4ff,0029AED4
1081.0931,-195.35124,4.121358,Bilevel optimization,#e0d4ff,00327EE6
1681.0388,-359.88324,4.1704208,Discrete geometry,#e0d4ff,003EAE6E
1098.2095,-498.8627,9.9584808,Stochastic process,#e0d4ff,007E3B49
1964.7821,-162.35869,6.1591842,Primary education,#e0d4ff,00995BD6
2396.7007,-550.9713,4.001965,Mathematical visualization,#e0d4ff,009CDF71
1765.7137,-185.11267,4.0505268,Non-Euclidean geometry,#e0d4ff,00A48DC5
1826.5831,-190.2909,4.0260086,Homological algebra,#e0d4ff,011839BE
1449.1503,0.45130968,4.026397,Mathematical and theoretical biology,#e0d4ff,01332841
1273.4161,-37.76654,4.1033196,Geometric programming,#e0d4ff,013C5000
1846.0361,-339.2536,4.0205276,Affine geometry,#e0d4ff,016964F8
1979.1765,-651.3744,4.0016064,Inventory theory,#e0d4ff,0173E917
1666.9547,32.367554,4.0057956,Theory of computation,#e0d4ff,017B50D4
1826.5178,-126.403015,4.0135242,Solid geometry,#e0d4ff,018771B4
2136.957,-199.4897,4.722052,Special education,#e0d4ff,01B85A10
1904.0123,23.881376,4.016975,Statistical graphics,#e0d4ff,01B8BA02
1767.9427,-255.57115,4.0804592,Trigonometry,#e0d4ff,01BA86DA
1553.076,-165.76515,5.8332596,Computational geometry,#e0d4ff,01BC623A
1689.0232,-531.5326,4.3824634,Algorithmics,#e0d4ff,021061B3
1637.92,-571.66473,4.0329662,Algebraic statistics,#e0d4ff,02164D9B
2645.6812,-454.55508,4.0027016,Quantitative psychology,#e0d4ff,021D7B9E
1400.6808,-71.89442,4.2320362,Cellular automaton,#e0d4ff,021E1B9F
1323.3403,5.810605,4.031504,Geometric design,#e0d4ff,02673B0E
1376.5076,-419.28027,8.863707,Linear programming,#e0d4ff,02724C38
1712.5532,-590.7692,4.0140484,Finite geometry,#e0d4ff,02A184CC
1668.4657,-73.47396,4.060922,Analytic geometry,#e0d4ff,02C09648
1480.7726,-131.06071,4.900198,Complex systems,#e0d4ff,02D9B5B9
1832.0852,-258.8986,4.5802598,Physics education,#e0d4ff,0306BE4F
1470.4055,-461.02457,5.5739604,Lie algebra,#e0d4ff,0312E0DF
1595.1223,-309.09955,5.6721066,Information theory,#e0d4ff,0322F3B2
1284.5024,-377.1577,4.7089898,Combinatorial optimization,#e0d4ff,0324061C
1572.3986,-580.6205,4.034269,Complex analysis,#e0d4ff,032D5E36
1789.6454,-316.58286,4.0521252,Algebraic combinatorics,#e0d4ff,0341CB7C
1317.0002,-117.20112,5.3946354,Functional analysis,#e0d4ff,0348F3E8
1173.0682,-173.67195,4.8421456,Job shop scheduling,#e0d4ff,034D987E
1269.4182,-285.84747,5.5727776,Constrained optimization,#e0d4ff,03514EEE
1210.7688,-428.41348,6.864212,Integer programming,#e0d4ff,0357D0DE
1684.4138,-147.37804,4.2669518,Differential calculus,#e0d4ff,0362BB5B
1942.8625,-460.21216,4.0138816,Social statistics,#e0d4ff,036D4A7F
1382.0162,-570.778,4.116589,Stochastic calculus,#e0d4ff,03C65C80
1683.1726,-444.43854,6.794693,Algebraic geometry,#e0d4ff,041323B1
2061.3767,-243.64175,5.0422172,Physical education,#e0d4ff,044194B2
1388.7438,-11.11656,4.0287124,Computational mechanics,#e0d4ff,04527D3E
2113.2986,-534.2314,4.0172936,Economic statistics,#e0d4ff,049992C9
1761.8584,-411.18564,4.0340274,Commutative algebra,#e0d4ff,04AAF8BC
1198.7375,-37.991253,4.0450988,Conic optimization,#e0d4ff,04B85004
1543.5109,-244.09761,5.487379,Group theory,#e0d4ff,04DDE898
1402.6782,-149.6373,6.494416,Quadratic programming,#e0d4ff,04E0DC0B
1628.1685,-213.06813,6.915544,Graph theory,#e0d4ff,05424A12
1258.7849,-164.06471,4.5502532,Nonlinear control,#e0d4ff,05756DA0
1103.8127,-292.37476,4.153024,Continuous optimization,#e0d4ff,058AFF1A
1380.8962,-630.1881,4.0359894,Mathematical finance,#e0d4ff,0590C493
1509.0095,-591.8971,4.01398,Algorithm engineering,#e0d4ff,05B321D1
1218.8217,-224.48888,4.3647632,Semidefinite programming,#e0d4ff,0612E2EC
1020.14343,-367.1834,5.465628,Adaptive control,#e0d4ff,0667C81C
2037.6458,-429.85037,4.0184254,Musical composition,#e0d4ff,0687E250
1550.2507,-387.19376,5.3487366,Symbolic computation,#e0d4ff,069ADD9D
2703.1558,-593.80914,4.005106,Business statistics,#e0d4ff,06A204B5
1436.9747,-244.53885,7.3952446,Nonlinear programming,#e0d4ff,06E2CFC4
1799.5447,-571.4455,4.003132,Formal science,#e0d4ff,071833A3
1879.4319,-605.8815,4.007046,Activity recognition,#e0d4ff,0740CE13
1306.9019,-590.25586,4.2453044,Vehicle routing problem,#e0d4ff,0760CC72
1067.7684,-19.517433,4.0089214,Geostatistics,#e0d4ff,077C14F2
2306.4038,-253.39424,4.2343948,Industrial arts,#e0d4ff,07B0739C
1543.3232,33.31028,4.0076454,General topology,#e0d4ff,07B1BE85
2043.8397,-54.68634,4.0025608,Precalculus,#e0d4ff,07BB8BB3
1621.4913,-379.48032,4.2846664,Euclidean geometry,#e0d4ff,07BC50F7
1436.4989,-331.02686,4.918534,Harmonic analysis,#e0d4ff,07DAA7F3
1741.3534,-353.4102,4.098933,Recreational mathematics,#e0d4ff,07E5769D
1939.1927,-87.92313,4.0039494,Synthetic geometry,#e0d4ff,07F2B7A8
1416.3435,-509.22073,4.291306,Differential algebra,#e0d4ff,084A332C
1514.5107,-317.69897,5.225539,Linear algebra,#e0d4ff,084E584F
2240.6724,-413.31134,4.0218434,Music theory,#e0d4ff,08931840
2135.949,-383.59354,4.003231,Biclustering,#e0d4ff,08A1BC8A
1536.4213,-86.87977,4.1162612,Algebraic topology,#e0d4ff,08A55A66
1179.9904,-283.62164,4.1606736,Discrete optimization,#e0d4ff,08AEC45B
1323.9501,-521.64716,5.1690068,Approximation algorithm,#e0d4ff,08DDF80C
1839.8469,-399.43152,4.0217342,Analytic number theory,#e0d4ff,08E7623D
2623.9165,-308.06827,4.0041688,Orthography,#e0d4ff,08FB0E63
2151.3254,-275.37445,5.4430992,Social studies,#e0d4ff,08FBA8BF
1445.9094,-592.2379,4.0238754,Geometric analysis,#e0d4ff,093CA14A
2029.142,75.7779,4.004329,Non-photorealistic rendering,#e0d4ff,094708CF
2354.5022,-470.0258,4.0040706,Infographic,#e0d4ff,0951F1A4
1594.389,-66.04099,4.0762374,Integral geometry,#e0d4ff,095F7C33
1321.4294,-217.96968,6.2836582,Convex optimization,#e0d4ff,096A7997
2208.583,-335.36328,4.031495,Blended learning,#e0d4ff,0973EFBF
979.3421,-465.29196,7.701134,Nonlinear system,#e0d4ff,097464D7
1338.8003,-53.88237,4.055275,Technology forecasting,#e0d4ff,09A2B2F2
1164.5938,-99.62551,4.1164498,Economic forecasting,#e0d4ff,09B839DC
1138.2654,-230.86584,4.0965152,Vector optimization,#e0d4ff,09C7CBF2
1356.4624,-304.0689,6.2768948,Global optimization,#e0d4ff,09D1EC85
1248.2461,-522.6114,4.217839,Fractional programming,#e0d4ff,0A13CD2D
